tournament_key,tournament_name,category,start_date,end_date,tournament_id,event_id,player_type_code,player_type_desc,match_type_code,match_type_desc,event_classification_code,event_classification_desc,drawsheet_structure_code,drawsheet_structure_desc,group_name,rr_group_size,rr_group_complete,rr_team1_position,rr_team1_wins,rr_team2_position,rr_team2_wins,round_name,round_order,match_id,play_status_code,play_status_desc,result_status_code,result_status_desc,team1_player_ids,team1_names,team1_nationalities,team1_seed,team1_entry_status,team2_player_ids,team2_names,team2_nationalities,team2_seed,team2_entry_status,winner_side,winner_names,score,h2h_link,live_scores_link,raw_json,collected_at
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638568,TP,To be played,,,800646359,Eyad Reda Ezzat Mohamed Sherif,EGY,1,DA,800693880,Ali Sherif Abdellatif,EGY,,WC,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800646359&player2Id=800693880,,"{""matchId"":1183638568,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800646359&player2Id=800693880"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800646359,""nationality"":""EGY"",""givenName"":""Eyad Reda Ezzat"",""familyName"":""Mohamed Sherif"",""profileLink"":""/en/players/eyad-reda-ezzat-mohamed-sherif/800646359/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":1,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800693880,""nationality"":""EGY"",""givenName"":""Ali Sherif"",""familyName"":""Abdellatif"",""profileLink"":""/en/players/ali-sherif-abdellatif/800693880/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638569,TP,To be played,,,800869764,Hamza Ibraheem Mohamed Mahmoud Mohamed,ESP,,WC,800826093,Sohayb Kamal,EGY,,16R,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800869764&player2Id=800826093,,"{""matchId"":1183638569,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800869764&player2Id=800826093"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800869764,""nationality"":""ESP"",""givenName"":""Hamza Ibraheem Mohamed"",""familyName"":""Mahmoud Mohamed"",""profileLink"":""/en/players/hamza-ibraheem-mohamed-mahmoud-mohamed/800869764/esp/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""},{""players"":[{""playerId"":800826093,""nationality"":""EGY"",""givenName"":""Sohayb"",""familyName"":""Kamal"",""profileLink"":""/en/players/sohayb-kamal/800826093/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""16R""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638570,TP,To be played,,,800681186,Amin Marei,EGY,,DA,800632383,Roman Kulpin,RUS,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800681186&player2Id=800632383,,"{""matchId"":1183638570,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800681186&player2Id=800632383"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800681186,""nationality"":""EGY"",""givenName"":""Amin"",""familyName"":""Marei"",""profileLink"":""/en/players/amin-marei/800681186/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800632383,""nationality"":""RUS"",""givenName"":""Roman"",""familyName"":""Kulpin"",""profileLink"":""/en/players/roman-kulpin/800632383/rus/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638571,TP,To be played,,,800796606,Younis Mohamed Hussien Moawad,EGY,,DA,800756384,Youssef Mourid,EGY,7,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800796606&player2Id=800756384,,"{""matchId"":1183638571,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800796606&player2Id=800756384"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800796606,""nationality"":""EGY"",""givenName"":""Younis"",""familyName"":""Mohamed Hussien Moawad"",""profileLink"":""/en/players/younis-mohamed-hussien-moawad/800796606/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800756384,""nationality"":""EGY"",""givenName"":""Youssef"",""familyName"":""Mourid"",""profileLink"":""/en/players/youssef-mourid/800756384/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":7,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638572,TP,To be played,,,800710863,Hruthik Katakam,IND,4,DA,800796782,Omar Assem,EGY,,16R,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800710863&player2Id=800796782,,"{""matchId"":1183638572,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800710863&player2Id=800796782"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800710863,""nationality"":""IND"",""givenName"":""Hruthik"",""familyName"":""Katakam"",""profileLink"":""/en/players/hruthik-katakam/800710863/ind/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":4,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800796782,""nationality"":""EGY"",""givenName"":""Omar"",""familyName"":""Assem"",""profileLink"":""/en/players/omar-assem/800796782/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""16R""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638573,TP,To be played,,,800796806,Yasin Mohamed Abdel Sanad,EGY,,WC,800675368,Hamood Eyad Al-Areqi,YEM,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800796806&player2Id=800675368,,"{""matchId"":1183638573,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800796806&player2Id=800675368"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800796806,""nationality"":""EGY"",""givenName"":""Yasin"",""familyName"":""Mohamed Abdel Sanad"",""profileLink"":""/en/players/yasin-mohamed-abdel-sanad/800796806/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""},{""players"":[{""playerId"":800675368,""nationality"":""YEM"",""givenName"":""Hamood Eyad"",""familyName"":""Al-Areqi"",""profileLink"":""/en/players/hamood-eyad-al-areqi/800675368/yem/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638574,TP,To be played,,,800654687,Mark Griaziutin Tverskoj,LTU,,DA,800682953,Ahmed Ibrahim,EGY,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800654687&player2Id=800682953,,"{""matchId"":1183638574,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800654687&player2Id=800682953"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800654687,""nationality"":""LTU"",""givenName"":""Mark"",""familyName"":""Griaziutin Tverskoj"",""profileLink"":""/en/players/mark-griaziutin-tverskoj/800654687/ltu/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800682953,""nationality"":""EGY"",""givenName"":""Ahmed"",""familyName"":""Ibrahim"",""profileLink"":""/en/players/ahmed-ibrahim/800682953/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638575,TP,To be played,,,800734118,Abdelrahman Eltaher,EGY,,DA,800636930,Hassan Shoaib,EGY,6,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800734118&player2Id=800636930,,"{""matchId"":1183638575,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800734118&player2Id=800636930"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800734118,""nationality"":""EGY"",""givenName"":""Abdelrahman"",""familyName"":""Eltaher"",""profileLink"":""/en/players/abdelrahman-eltaher/800734118/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800636930,""nationality"":""EGY"",""givenName"":""Hassan"",""familyName"":""Shoaib"",""profileLink"":""/en/players/hassan-shoaib/800636930/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":6,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638576,TP,To be played,,,800680096,Shaurya Bhardwaj,IND,5,DA,800748357,Ibrahim Ramy Hassan,EGY,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800680096&player2Id=800748357,,"{""matchId"":1183638576,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800680096&player2Id=800748357"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800680096,""nationality"":""IND"",""givenName"":""Shaurya"",""familyName"":""Bhardwaj"",""profileLink"":""/en/players/shaurya-bhardwaj/800680096/ind/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":5,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800748357,""nationality"":""EGY"",""givenName"":""Ibrahim Ramy"",""familyName"":""Hassan"",""profileLink"":""/en/players/ibrahim-ramy-hassan/800748357/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638577,TP,To be played,,,800810233,Oumar Ehab Al-Sabki,EGY,,Q,800810196,Mostafa Anan,EGY,,Q,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800810233&player2Id=800810196,,"{""matchId"":1183638577,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800810233&player2Id=800810196"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800810233,""nationality"":""EGY"",""givenName"":""Oumar"",""familyName"":""Ehab Al-Sabki"",""profileLink"":""/en/players/oumar-ehab-al-sabki/800810233/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""Q""},{""players"":[{""playerId"":800810196,""nationality"":""EGY"",""givenName"":""Mostafa"",""familyName"":""Anan"",""profileLink"":""/en/players/mostafa-anan/800810196/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""Q""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.084Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638578,TP,To be played,,,800661204,Iakov Mazin,RUS,,DA,800748398,Adam Mohamed Mostafa Mohamed Mohamed,EGY,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800661204&player2Id=800748398,,"{""matchId"":1183638578,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800661204&player2Id=800748398"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800661204,""nationality"":""RUS"",""givenName"":""Iakov"",""familyName"":""Mazin"",""profileLink"":""/en/players/iakov-mazin/800661204/rus/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800748398,""nationality"":""EGY"",""givenName"":""Adam Mohamed Mostafa Mohamed"",""familyName"":""Mohamed"",""profileLink"":""/en/players/adam-mohamed-mostafa-mohamed-mohamed/800748398/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638579,TP,To be played,,,800793398,Yassin Ramadan,EGY,,WC,800793938,Mohamed Genidy,EGY,3,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800793398&player2Id=800793938,,"{""matchId"":1183638579,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800793398&player2Id=800793938"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800793398,""nationality"":""EGY"",""givenName"":""Yassin"",""familyName"":""Ramadan"",""profileLink"":""/en/players/yassin-ramadan/800793398/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""WC""},{""players"":[{""playerId"":800793938,""nationality"":""EGY"",""givenName"":""Mohamed"",""familyName"":""Genidy"",""profileLink"":""/en/players/mohamed-genidy/800793938/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":3,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638580,TP,To be played,,,800708324,Yassin Abdelaziz,EGY,8,DA,800725336,Dany Baher,EGY,,Q,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800708324&player2Id=800725336,,"{""matchId"":1183638580,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800708324&player2Id=800725336"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800708324,""nationality"":""EGY"",""givenName"":""Yassin"",""familyName"":""Abdelaziz"",""profileLink"":""/en/players/yassin-abdelaziz/800708324/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":8,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800725336,""nationality"":""EGY"",""givenName"":""Dany"",""familyName"":""Baher"",""profileLink"":""/en/players/dany-baher/800725336/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""Q""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638581,TP,To be played,,,800681738,Yassin Sherif,EGY,,DA,800678997,William Repakis,SWE,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800681738&player2Id=800678997,,"{""matchId"":1183638581,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800681738&player2Id=800678997"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800681738,""nationality"":""EGY"",""givenName"":""Yassin"",""familyName"":""Sherif"",""profileLink"":""/en/players/yassin-sherif/800681738/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800678997,""nationality"":""SWE"",""givenName"":""William"",""familyName"":""Repakis"",""profileLink"":""/en/players/william-repakis/800678997/swe/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638582,TP,To be played,,,800692423,Raoul Bazerghi,EGY,,DA,800584482,Theo Alexandre Ifejika,FRA,,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800692423&player2Id=800584482,,"{""matchId"":1183638582,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800692423&player2Id=800584482"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800692423,""nationality"":""EGY"",""givenName"":""Raoul"",""familyName"":""Bazerghi"",""profileLink"":""/en/players/raoul-bazerghi/800692423/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""},{""players"":[{""playerId"":800584482,""nationality"":""FRA"",""givenName"":""Theo Alexandre"",""familyName"":""Ifejika"",""profileLink"":""/en/players/theo-alexandre-ifejika/800584482/fra/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,1st Round,1,1183638583,TP,To be played,,,800854203,Paula Reed,EGY,,Q,800631785,Omar Kandil,EGY,2,DA,,,,https://www.itftennis.com/en/head-to-head/?circuitCode=jt&player1Id=800854203&player2Id=800631785,,"{""matchId"":1183638583,""h2hLink"":""/en/head-to-head/?circuitCode=jt&player1Id=800854203&player2Id=800631785"",""liveScoresLink"":"""",""teams"":[{""players"":[{""playerId"":800854203,""nationality"":""EGY"",""givenName"":""Paula"",""familyName"":""Reed"",""profileLink"":""/en/players/paula-reed/800854203/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":""Q""},{""players"":[{""playerId"":800631785,""nationality"":""EGY"",""givenName"":""Omar"",""familyName"":""Kandil"",""profileLink"":""/en/players/omar-kandil/800631785/egy/jt/s/"",""hiddenPlayer"":false},null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":2,""tieNationCode"":null,""entryStatus"":""DA""}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638560,TP,To be played,,,,,,,,,,,,,,,,,,"{""matchId"":1183638560,""h2hLink"":"""",""liveScoresLink"":"""",""teams"":[{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null},{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638561,TP,To be played,,,,,,,,,,,,,,,,,,"{""matchId"":1183638561,""h2hLink"":"""",""liveScoresLink"":"""",""teams"":[{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null},{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638562,TP,To be played,,,,,,,,,,,,,,,,,,"{""matchId"":1183638562,""h2hLink"":"""",""liveScoresLink"":"""",""teams"":[{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null},{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638563,TP,To be played,,,,,,,,,,,,,,,,,,"{""matchId"":1183638563,""h2hLink"":"""",""liveScoresLink"":"""",""teams"":[{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null},{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
J-J100-EGY-2026-002,J100 Cairo,J100,2026-08-03,2026-08-08,1100203749,1100704617,B,Boys,S,Singles,M,Main Draw,KO,Knock-out,,,,,,,,2nd Round,2,1183638564,TP,To be played,,,,,,,,,,,,,,,,,,"{""matchId"":1183638564,""h2hLink"":"""",""liveScoresLink"":"""",""teams"":[{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null},{""players"":[null,null],""scores"":[null,null,null,null,null],""isWinner"":false,""seeding"":null,""tieNationCode"":null,""entryStatus"":null}],""playStatusCode"":""TP"",""playStatusDesc"":""To be played"",""resultStatusDesc"":null,""resultStatusCode"":null,""MatchTypeCode"":null,""CircuitCode"":null}",2026-08-03T21:25:01.085Z
